time,1,2,3,4,5,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
57,a,c,b,d,a,0.0,23.050985793249154,0.0,17.684953957784888,0.0,5.366031835464273,0.0,5.366031835464273,17.684953957784888,5.366031835464273,17.684953957784888,0.0
56,a,c,b,d,a,0.0,21.64588721392424,0.0,15.9164585620064,0.0,5.729428651917846,0.0,5.729428651917846,15.9164585620064,5.729428651917846,15.9164585620064,0.0
55,a,c,d,b,a,0.0,20.381298492531815,0.0,14.32481270580576,0.0,6.0564857867260615,0.0,6.0564857867260615,14.32481270580576,6.0564857867260615,14.32481270580576,0.0
54,a,c,d,b,a,0.0,22.843168643278634,0.0,17.392331435225188,0.0,5.450837208053455,0.0,5.450837208053455,17.392331435225188,5.450837208053455,17.392331435225188,0.0
53,a,c,b,d,a,0.0,25.05885177895077,0.0,20.15309829170267,0.0,4.90575348724811,0.0,4.90575348724811,20.15309829170267,4.90575348724811,20.15309829170267,0.0
52,a,c,b,d,a,0.0,23.452966601055696,0.0,18.137788462532402,0.0,5.315178138523299,0.0,5.315178138523299,18.137788462532402,5.315178138523299,18.137788462532402,0.0
51,a,c,b,d,a,0.0,22.007669940950127,0.0,16.324009616279163,0.0,5.683660324670969,0.0,5.683660324670969,16.324009616279163,5.683660324670969,16.324009616279163,0.0
50,a,c,b,d,a,0.0,20.706902946855113,0.0,14.691608654651247,0.0,6.015294292203873,0.0,6.015294292203873,14.691608654651247,6.015294292203873,14.691608654651247,0.0
49,a,c,b,d,a,0.0,19.536212652169603,0.0,13.222447789186123,0.0,6.3137648629834855,0.0,6.3137648629834855,13.222447789186123,6.3137648629834855,13.222447789186123,0.0
48,a,c,d,b,a,0.0,18.48259138695264,0.0,11.90020301026751,0.0,6.582388376685137,0.0,6.582388376685137,11.90020301026751,6.582388376685137,11.90020301026751,0.0
47,a,c,b,d,a,0.0,21.13433224825738,0.0,15.21018270924076,0.0,5.924149539016623,0.0,5.924149539016623,15.21018270924076,5.924149539016623,15.21018270924076,0.0
46,a,c,d,b,a,0.0,19.92089902343164,0.0,13.689164438316684,0.0,6.231734585114961,0.0,6.231734585114961,13.689164438316684,6.231734585114961,13.689164438316684,0.0
45,a,c,d,b,a,0.0,22.428809121088477,0.0,16.820247994485015,0.0,5.608561126603465,0.0,5.608561126603465,16.820247994485015,5.608561126603465,16.820247994485015,0.0
44,a,c,b,d,a,0.0,24.68592820897963,0.0,19.638223195036513,0.0,5.047705013943119,0.0,5.047705013943119,19.638223195036513,5.047705013943119,19.638223195036513,0.0
43,a,c,d,b,a,0.0,23.117335388081667,0.0,17.67440087553286,0.0,5.442934512548807,0.0,5.442934512548807,17.67440087553286,5.442934512548807,17.67440087553286,0.0
42,a,c,d,b,a,0.0,25.3056018492735,0.0,20.406960787979575,0.0,4.898641061293927,0.0,4.898641061293927,20.406960787979575,4.898641061293927,20.406960787979575,0.0
